Record Length,8000,,Source,CH1,CH2
Sample Interval,CH1:0.0000020000000 CH2:0.0000020000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00800000038,0.32000,0.12000
Vertical Scale,CH1:2.00 CH2:1.00,,-0.00799799990,0.32000,0.08000
Vertical Offset,CH1:3.92000 CH2:-2.02000,,-0.00799600035,0.32000,0.12000
Horizontal Units,s,,-0.00799399987,0.32000,0.08000
Horizontal Scale,0.0010000000,,-0.00799200032,0.32000,0.08000
Model Number,SDS1102CML+,,-0.00798999984,0.32000,0.12000
Serial Number,SDS1MDBQ1R6022,,-0.00798800029,0.16000,0.08000
Software Version,6.01.01.19,,-0.00798599981,0.16000,0.12000
,,,-0.00798400026,0.16000,0.08000
,,,-0.00798199978,0.32000,0.08000
,,,-0.00798000023,0.32000,0.08000
,,,-0.00797799975,0.32000,0.12000
,,,-0.00797600020,0.16000,0.08000
,,,-0.00797399972,0.16000,0.08000
,,,-0.00797200017,0.16000,0.12000
,,,-0.00796999969,0.08000,0.08000
,,,-0.00796800014,0.16000,0.08000
,,,-0.00796599966,0.16000,0.08000
,,,-0.00796400011,0.08000,0.08000
,,,-0.00796199962,0.08000,0.08000
,,,-0.00796000008,0.16000,0.08000
,,,-0.00795799959,0.08000,0.08000
,,,-0.00795600004,0.08000,0.08000
,,,-0.00795399956,0.08000,0.08000
,,,-0.00795200001,0.08000,0.08000
,,,-0.00794999953,0.08000,0.04000
,,,-0.00794799998,0.08000,0.08000
,,,-0.00794600043,0.00,0.08000
,,,-0.00794399995,0.00,0.04000
,,,-0.00794200040,0.08000,0.08000
,,,-0.00793999992,0.00,0.08000
,,,-0.00793800037,0.00,0.04000
,,,-0.00793599989,0.00,0.08000
,,,-0.00793400034,0.00,0.08000
,,,-0.00793199986,0.00,0.04000
,,,-0.00793000031,0.00,0.04000
,,,-0.00792799983,0.00,0.04000
,,,-0.00792600028,0.00,0.04000
,,,-0.00792399980,0.00,0.04000
,,,-0.00792200025,0.00,0.04000
,,,-0.00791999977,0.00,0.04000
,,,-0.00791800022,0.00,0.04000
,,,-0.00791599974,0.00,0.04000
,,,-0.00791400019,-0.08000,0.04000
,,,-0.00791199971,-0.08000,0.04000
,,,-0.00791000016,-0.08000,0.04000
,,,-0.00790799968,-0.08000,0.04000
,,,-0.00790600013,-0.08000,0.04000
,,,-0.00790399965,-0.08000,0.04000
,,,-0.00790200010,-0.16000,0.04000
,,,-0.00789999962,-0.08000,0.04000
,,,-0.00789800007,-0.16000,0.04000
,,,-0.00789599959,-0.16000,0.04000
,,,-0.00789400004,-0.16000,0.00
,,,-0.00789199956,-0.16000,0.04000
,,,-0.00789000001,-0.16000,0.04000
,,,-0.00788799953,-0.24000,0.00
,,,-0.00788599998,-0.24000,0.04000
,,,-0.00788400043,-0.24000,0.04000
,,,-0.00788199995,-0.24000,0.00
,,,-0.00788000040,-0.24000,0.00
,,,-0.00787799992,-0.24000,0.00
,,,-0.00787600037,-0.24000,0.00
,,,-0.00787399989,-0.24000,0.00
,,,-0.00787200034,-0.24000,0.00
,,,-0.00786999986,-0.24000,0.00
