Record Length,10000,,Source,CH1,CH2
Sample Interval,CH1:0.0000799999980 CH2:0.0000799999980,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.39999997616,1.20000,0.60000
Vertical Scale,CH1:5.00 CH2:5.00,,-0.39991998672,1.60000,0.60000
Vertical Offset,CH1:9.80000 CH2:-10.10000,,-0.39983999729,1.40000,0.60000
Horizontal Units,s,,-0.39975997806,1.40000,0.80000
Horizontal Scale,0.0500000007,,-0.39967998862,1.40000,0.60000
Model Number,SDS1102CML+,,-0.39959999919,1.20000,0.80000
Serial Number,SDS1MDBQ1R6022,,-0.39951997995,1.20000,0.60000
Software Version,6.01.01.19,,-0.39943999052,1.40000,0.60000
,,,-0.39936000109,1.40000,0.80000
,,,-0.39927998185,1.40000,0.80000
,,,-0.39919999242,1.40000,0.80000
,,,-0.39912000299,1.40000,0.60000
,,,-0.39903998375,1.20000,1.00000
,,,-0.39895999432,1.40000,0.80000
,,,-0.39887997508,1.20000,1.00000
,,,-0.39879998565,1.20000,0.80000
,,,-0.39871999621,1.20000,0.80000
,,,-0.39863997698,1.20000,0.80000
,,,-0.39855998755,1.20000,1.00000
,,,-0.39847999811,1.20000,0.60000
,,,-0.39839997888,1.20000,0.80000
,,,-0.39831998944,1.20000,1.00000
,,,-0.39824000001,1.20000,0.60000
,,,-0.39815998077,0.80000,1.00000
,,,-0.39807999134,1.20000,0.80000
,,,-0.39800000191,1.00000,0.80000
,,,-0.39791998267,1.00000,0.80000
,,,-0.39783999324,1.00000,0.60000
,,,-0.39776000381,0.80000,0.80000
,,,-0.39767998457,1.00000,0.60000
,,,-0.39759999514,1.00000,0.80000
,,,-0.39751997590,1.00000,0.80000
,,,-0.39743998647,0.60000,0.80000
,,,-0.39735999703,0.80000,0.60000
,,,-0.39727997780,0.60000,0.60000
,,,-0.39719998837,0.80000,0.60000
,,,-0.39711999893,0.40000,0.40000
,,,-0.39703997970,0.60000,0.40000
,,,-0.39695999026,0.40000,0.40000
,,,-0.39688000083,0.40000,0.40000
,,,-0.39679998159,0.20000,0.40000
,,,-0.39671999216,0.20000,0.20000
,,,-0.39664000273,0.40000,0.20000
,,,-0.39655998349,0.20000,0.40000
,,,-0.39647999406,0.40000,0.20000
,,,-0.39640000463,0.20000,0.20000
,,,-0.39631998539,0.00,0.00
,,,-0.39623999596,-0.20000,0.20000
,,,-0.39615997672,-0.20000,0.20000
,,,-0.39607998729,0.00,0.00
,,,-0.39599999785,-0.20000,0.00
,,,-0.39591997862,0.00,0.00
,,,-0.39583998919,-0.20000,-0.20000
,,,-0.39575999975,-0.40000,-0.20000
,,,-0.39567998052,-0.40000,0.00
,,,-0.39559999108,-0.40000,-0.40000
,,,-0.39552000165,-0.40000,-0.20000
,,,-0.39543998241,-0.40000,-0.40000
,,,-0.39535999298,-0.80000,-0.20000
,,,-0.39528000355,-0.40000,-0.40000
,,,-0.39519998431,-0.60000,-0.60000
,,,-0.39511999488,-0.60000,-0.40000
,,,-0.39503997564,-0.60000,-0.40000
,,,-0.39495998621,-1.00000,-0.60000
