time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.225245466324607e-09	2.138869e-05	-8.123455e-14
1.845049093264921e-08	4.277738e-05	1.592954e-13
2.767573639897382e-08	6.416607e-05	7.215897e-13
3.690098186529843e-08	8.555476e-05	1.605649e-12
4.612622733162304e-08	1.069434e-04	2.811472e-12
5.535147279794765e-08	1.283321e-04	4.339060e-12
6.457671826427223e-08	1.497208e-04	6.188412e-12
1.021365290092091e-07	2.368031e-04	2.001176e-11
1.390524814498514e-07	3.223925e-04	4.685705e-11
1.821234303785878e-07	4.222523e-04	1.036734e-10
2.399781703380442e-07	5.563882e-04	2.363525e-10
3.153518815414502e-07	7.311418e-04	5.354814e-10
4.160214396657183e-07	9.645436e-04	1.226678e-09
5.475912971187796e-07	1.269588e-03	2.791134e-09
7.223379978311473e-07	1.674737e-03	6.387369e-09
9.519585851514310e-07	2.207110e-03	1.456715e-08
1.256645372330327e-06	2.913522e-03	3.334436e-08
1.658926301958232e-06	3.846203e-03	7.622786e-08
2.193638763277786e-06	5.085920e-03	1.747654e-07
2.903653692268698e-06	6.732057e-03	4.008477e-07
3.852174545532279e-06	8.931130e-03	9.222895e-07
5.122606333283595e-06	1.187646e-02	2.127025e-06
6.837242396712141e-06	1.585145e-02	4.928421e-06
9.168368788889070e-06	2.125522e-02	1.148160e-05
1.237710579531915e-05	2.869232e-02	2.697833e-05
1.686320707228620e-05	3.908731e-02	6.414943e-05
2.328474440009177e-05	5.395935e-02	1.553877e-04
3.279227988096891e-05	7.595553e-02	3.875570e-04
4.763263624352949e-05	1.102117e-01	1.002887e-03
7.014111814076681e-05	1.619060e-01	2.552985e-03
1.046745245733162e-04	2.403121e-01	6.464183e-03
1.645793180250653e-04	3.723840e-01	1.769882e-02
2.843889049285636e-04	6.126067e-01	5.237750e-02
4.514321662324992e-04	8.657482e-01	1.163413e-01
5.232988708766893e-04	9.367640e-01	1.487799e-01
5.757057646053389e-04	9.722751e-01	1.743408e-01
6.177514286748125e-04	9.904183e-01	1.951330e-01
6.631751234755598e-04	9.994480e-01	2.174723e-01
7.128287153143977e-04	9.966486e-01	2.413090e-01
7.756477527052718e-04	9.742244e-01	2.696615e-01
8.774312310983739e-04	8.944825e-01	3.088698e-01
1.039247753544636e-03	6.684342e-01	3.484385e-01
1.281462199240963e-03	1.697032e-01	3.588901e-01
1.460169202287726e-03	-2.413948e-01	3.238377e-01
1.641899153578933e-03	-6.171716e-01	2.477061e-01
1.822411376935589e-03	-8.836768e-01	1.475288e-01
1.889786436207343e-03	-9.457413e-01	1.053968e-01
1.939250029609033e-03	-9.767097e-01	7.316223e-02
1.983373617080266e-03	-9.935151e-01	4.443258e-02
2.027491897195417e-03	-9.999321e-01	1.607024e-02
2.071301686626555e-03	-9.959604e-01	-1.132997e-02
2.136286321453578e-03	-9.711997e-01	-4.963467e-02
2.241507708139918e-03	-8.848910e-01	-1.034954e-01
2.408390653715165e-03	-6.437148e-01	-1.626198e-01
2.652764129878420e-03	-1.323743e-01	-1.957918e-01
2.830441971730652e-03	2.755688e-01	-1.749858e-01
3.010457667685042e-03	6.415728e-01	-1.131390e-01
3.164772051145797e-03	8.695666e-01	-3.897656e-02
3.235698143215311e-03	9.386746e-01	2.785724e-04
3.287493276769238e-03	9.732214e-01	3.039262e-02
