time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.650430959075684e-09	2.293633e-05	-2.946934e-14
7.300861918151368e-09	4.587267e-05	1.381432e-14
1.095129287722705e-08	6.880900e-05	1.298510e-13
1.460172383630274e-08	9.174534e-05	3.186407e-13
1.825215479537842e-08	1.146817e-04	5.801834e-13
2.190258575445410e-08	1.376180e-04	9.144790e-13
2.555301671352978e-08	1.605543e-04	1.321528e-12
5.013003444922399e-08	3.149763e-04	7.520676e-12
7.607787011967846e-08	4.780113e-04	2.213994e-11
1.034468253005587e-07	6.499756e-04	5.215604e-11
1.350235225196717e-07	8.483777e-04	1.145625e-10
1.783841430350751e-07	1.120820e-03	2.632981e-10
2.339757592366317e-07	1.470112e-03	5.935305e-10
3.090228540351707e-07	1.941647e-03	1.364689e-09
4.062294410356612e-07	2.552412e-03	3.095294e-09
5.360659086093281e-07	3.368195e-03	7.095827e-09
7.057267238633116e-07	4.434197e-03	1.614809e-08
9.313777142005163e-07	5.851985e-03	3.698027e-08
1.228074196488761e-06	7.716141e-03	8.438172e-08
1.622402390943680e-06	1.019368e-02	1.933348e-07
2.143832069648518e-06	1.346969e-02	4.424407e-07
2.838642187336198e-06	1.783477e-02	1.015953e-06
3.763998447694770e-06	2.364770e-02	2.334845e-06
5.005475702557234e-06	3.144515e-02	5.387128e-06
6.677591760615918e-06	4.194424e-02	1.247100e-05
8.951943267663196e-06	5.621707e-02	2.905034e-05
1.207711273170364e-05	7.580993e-02	6.819206e-05
1.644421300761357e-05	1.031383e-01	1.620286e-04
2.268441955146763e-05	1.420483e-01	3.918986e-04
3.191655511007479e-05	1.991962e-01	9.759824e-04
4.633768169989931e-05	2.870523e-01	2.513198e-03
6.766396785842862e-05	4.124531e-01	6.212174e-03
9.933126001102446e-05	5.843807e-01	1.475886e-02
1.488762600467187e-04	8.048467e-01	3.309425e-02
1.806205333281119e-04	9.064803e-01	4.754822e-02
2.032501009519045e-04	9.571682e-01	5.922489e-02
2.200072031350577e-04	9.822958e-01	6.836962e-02
2.372195882018525e-04	9.967775e-01	7.802317e-02
2.602411303064801e-04	9.979305e-01	9.104940e-02
2.816713826711487e-04	9.802653e-01	1.029885e-01
3.164400213938622e-04	9.141238e-01	1.210372e-01
3.719835506747651e-04	7.203807e-01	1.441026e-01
4.563414361922538e-04	2.708875e-01	1.644496e-01
5.244159417079859e-04	-1.528089e-01	1.651452e-01
5.851102760375093e-04	-5.096377e-01	1.508787e-01
6.459359896333391e-04	-7.937458e-01	1.253654e-01
6.785861581431347e-04	-9.010090e-01	1.077348e-01
7.017663895301343e-04	-9.544275e-01	9.360608e-02
7.188958059305213e-04	-9.809636e-01	8.265255e-02
7.358777941168551e-04	-9.960659e-01	7.154183e-02
7.569934200899518e-04	-9.990348e-01	5.762214e-02
7.763861016366864e-04	-9.862885e-01	4.497306e-02
8.078891349557966e-04	-9.345770e-01	2.541889e-02
8.584652301750024e-04	-7.766241e-01	-2.137292e-03
9.199676992801248e-04	-4.819315e-01	-2.727344e-02
9.823901740137325e-04	-1.104202e-01	-4.055907e-02
1.044830463969562e-03	2.779680e-01	-3.951418e-02
1.108588173297746e-03	6.305640e-01	-2.443681e-02
1.166477664182900e-03	8.654310e-01	-1.187375e-03
1.193025175911285e-03	9.366053e-01	1.223481e-02
1.212381944026623e-03	9.721965e-01	2.306603e-02
1.227883717872077e-03	9.903605e-01	3.206117e-02
1.244696789700197e-03	9.994449e-01	4.198197e-02
1.263028278436124e-03	9.966514e-01	5.282106e-02
1.286205048090151e-03	9.742371e-01	6.622873e-02
1.323757659208741e-03	8.945231e-01	8.622255e-02
1.383459826151097e-03	6.685398e-01	1.108490e-01
1.472827466238121e-03	1.699018e-01	1.307171e-01
1.539187341154565e-03	-2.437410e-01	1.289233e-01
1.607907442103823e-03	-6.272385e-01	1.096347e-01
1.672814665147342e-03	-8.846890e-01	8.010088e-02
1.697580220353435e-03	-9.462485e-01	6.617980e-02
1.715768853959633e-03	-9.769592e-01	5.497600e-02
1.732095493570880e-03	-9.936789e-01	4.463550e-02
1.748554191632037e-03	-9.999588e-01	3.408801e-02
1.764462607326999e-03	-9.958740e-01	2.390562e-02
1.788537230395860e-03	-9.708279e-01	8.866722e-03
1.827514970793596e-03	-8.837216e-01	-1.353128e-02
1.887790823569865e-03	-6.480575e-01	-4.162057e-02
1.957128014617030e-03	-2.661268e-01	-6.164349e-02
2.023924561882907e-03	1.497570e-01	-6.533602e-02
2.091940282855072e-03	5.460801e-01	-5.269437e-02
2.154342573655126e-03	8.247517e-01	-2.938228e-02
2.184432170403652e-03	9.163318e-01	-1.445499e-02
2.206040942745116e-03	9.620979e-01	-2.317206e-03
2.222101909584407e-03	9.846762e-01	7.128463e-03
2.239755517049854e-03	9.979291e-01	1.774133e-02
2.261187871581675e-03	9.975303e-01	3.069800e-02
2.283211630683070e-03	9.783063e-01	4.378102e-02
2.318927996672997e-03	9.076744e-01	6.352095e-02
2.375895509691324e-03	7.031170e-01	8.872935e-02
2.462002930863710e-03	2.364811e-01	1.112760e-01
2.529475377506168e-03	-1.841424e-01	1.129106e-01
2.591753878110096e-03	-5.450985e-01	9.888346e-02
2.654810899089256e-03	-8.264121e-01	7.319703e-02
2.684760484641386e-03	-9.171559e-01	5.750117e-02
2.706281981968930e-03	-9.625098e-01	4.481937e-02
2.722283073957860e-03	-9.848741e-01	3.497737e-02
2.739975255613207e-03	-9.980170e-01	2.387217e-02
2.761269824167783e-03	-9.974940e-01	1.044296e-02
2.783344947493155e-03	-9.781324e-01	-3.235798e-03
2.819143254445881e-03	-9.071059e-01	-2.391025e-02
2.876233492408392e-03	-7.016053e-01	-5.095930e-02
2.953420886154463e-03	-2.885051e-01	-7.407619e-02
3.021942405227780e-03	1.374319e-01	-7.884387e-02
3.083261509184455e-03	4.996091e-01	-6.817102e-02
3.144838880779709e-03	7.895342e-01	-4.582190e-02
3.177829959823517e-03	8.989377e-01	-2.974933e-02
3.201215940940615e-03	9.533896e-01	-1.667176e-02
3.218483888338051e-03	9.804577e-01	-6.476367e-03
3.235381160195830e-03	9.957845e-01	3.765808e-03
3.256380220766160e-03	9.991966e-01	1.661589e-02
3.275387958058929e-03	9.873041e-01	2.813865e-02
3.306272117980457e-03	9.381433e-01	4.595986e-02
3.355896861527447e-03	7.866887e-01	7.041770e-02
3.432631855377494e-03	4.107592e-01	9.635044e-02
3.504687660921369e-03	-2.944918e-02	1.049859e-01
3.567089838338764e-03	-4.091642e-01	9.699532e-02
3.629961252886215e-03	-7.288020e-01	7.593836e-02
3.671511617206297e-03	-8.808427e-01	5.617490e-02
3.696639975778564e-03	-9.443212e-01	4.210185e-02
3.715068366302655e-03	-9.760104e-01	3.105431e-02
3.731224928616096e-03	-9.930499e-01	2.107778e-02
3.747007674173752e-03	-9.998233e-01	1.120564e-02
3.763887697174113e-03	-9.961954e-01	6.497211e-04
3.787602525521478e-03	-9.722193e-01	-1.383710e-02
3.826009695850638e-03	-8.881084e-01	-3.541159e-02
3.886973092428130e-03	-6.519619e-01	-6.237857e-02
3.970514173645901e-03	-1.842069e-01	-8.354232e-02
4.036468028754579e-03	2.271356e-01	-8.399947e-02
4.104698272218275e-03	6.114080e-01	-6.738041e-02
4.169871886318514e-03	8.759186e-01	-3.995658e-02
4.195459418817656e-03	9.418547e-01	-2.636513e-02
4.214189838886732e-03	9.747937e-01	-1.535748e-02
4.230132716259162e-03	9.922189e-01	-5.687959e-03
4.245198284763150e-03	9.995449e-01	3.578746e-03
4.263214833750060e-03	9.965549e-01	1.466970e-02
4.286508421412565e-03	9.738055e-01	2.869432e-02
4.324246695734723e-03	8.931453e-01	4.963848e-02
4.384223511974386e-03	6.649637e-01	7.562462e-02
4.473911085446101e-03	1.631884e-01	9.724904e-02
4.540287271920041e-03	-2.504378e-01	9.659909e-02
4.608842139219646e-03	-6.318017e-01	7.845404e-02
4.674543223426494e-03	-8.896999e-01	4.961383e-02
4.698830313926672e-03	-9.487598e-01	3.636450e-02
4.716701248585823e-03	-9.781927e-01	2.565662e-02
4.733236244551707e-03	-9.944580e-01	1.547125e-02
4.748600891923889e-03	-9.999614e-01	5.895565e-03
4.764479966132136e-03	-9.958642e-01	-3.989029e-03
4.788565451004773e-03	-9.707854e-01	-1.861574e-02
4.827560405290862e-03	-8.835880e-01	-4.031940e-02
4.889386925577682e-03	-6.403873e-01	-6.706372e-02
4.975589146133687e-03	-1.527773e-01	-8.764646e-02
5.041368867289364e-03	2.570112e-01	-8.693301e-02
5.109176968174329e-03	6.334310e-01	-6.914825e-02
5.175683269099462e-03	8.929473e-01	-4.019292e-02
5.199656525718144e-03	9.503874e-01	-2.722096e-02
5.217318144556274e-03	9.789904e-01	-1.671811e-02
5.233977697773518e-03	9.949369e-01	-6.535689e-03
5.251897077610002e-03	9.999290e-01	4.539120e-03
5.268089018401146e-03	9.935480e-01	1.450938e-02
5.294430229699713e-03	9.612863e-01	3.021826e-02
5.336985379770768e-03	8.543252e-01	5.299314e-02
5.403959266283540e-03	5.674797e-01	7.983600e-02
5.485565132087353e-03	9.057266e-02	9.599647e-02
5.550284914040054e-03	-3.107190e-01	9.263753e-02
5.616168028868336e-03	-6.667990e-01	7.376996e-02
5.670247344599105e-03	-8.770543e-01	4.957923e-02
5.695729476758152e-03	-9.424235e-01	3.567522e-02
5.714390707526410e-03	-9.750745e-01	2.459050e-02
5.730382480048994e-03	-9.924130e-01	1.479459e-02
5.745510924939344e-03	-9.996023e-01	5.400267e-03
5.763331120011504e-03	-9.964940e-01	-5.671575e-03
5.786697518550086e-03	-9.735346e-01	-1.986813e-02
5.824551477774106e-03	-8.922824e-01	-4.106741e-02
5.884699248953287e-03	-6.627281e-01	-6.752445e-02
5.971859730804884e-03	-1.758907e-01	-8.927986e-02
6.038072512193296e-03	2.369417e-01	-8.932848e-02
6.106610000781726e-03	6.208687e-01	-7.201571e-02
6.171909811212729e-03	8.820243e-01	-4.402374e-02
6.196927106905089e-03	9.449133e-01	-3.057823e-02
6.215282206766611e-03	9.763020e-01	-1.970025e-02
6.231490717442357e-03	9.932451e-01	-9.802796e-03
6.247479856534628e-03	9.998747e-01	8.833221e-05
6.264063243204359e-03	9.960986e-01	1.034357e-02
6.287887945403739e-03	9.717980e-01	2.472946e-02
6.326469430566476e-03	8.867770e-01	4.611689e-02
6.387689173893610e-03	6.485438e-01	7.238510e-02
6.477400385502911e-03	1.415209e-01	9.331684e-02
6.543670427302049e-03	-2.709592e-01	9.205585e-02
6.611645560543849e-03	-6.453564e-01	7.383269e-02
6.670061709548467e-03	-8.764934e-01	4.827311e-02
6.695595934571539e-03	-9.421425e-01	3.444573e-02
6.714291371720860e-03	-9.749358e-01	2.335925e-02
6.730258966879018e-03	-9.923173e-01	1.359257e-02
6.745291469928730e-03	-9.995624e-01	4.270499e-03
6.763249495080642e-03	-9.965368e-01	-6.873165e-03
6.786564785873674e-03	-9.737249e-01	-2.102328e-02
6.824337545929506e-03	-8.928884e-01	-4.216120e-02
6.884365338129922e-03	-6.642978e-01	-6.852601e-02
6.972204014009949e-03	-1.737608e-01	-9.036532e-02
