time	V(n001)	V(n003)
3.597664586998421e-02	-6.086304e-01	1.004330e-01
3.665022347644585e-02	-8.811631e-01	-1.885479e-01
3.690075534456593e-02	-9.444817e-01	-2.939923e-01
3.708451011004782e-02	-9.760895e-01	-3.666641e-01
3.724592576074558e-02	-9.931030e-01	-4.261626e-01
3.740402708749917e-02	-9.998381e-01	-4.798917e-01
3.757172286469717e-02	-9.961693e-01	-5.308906e-01
3.780874182227596e-02	-9.721056e-01	-5.903835e-01
3.819259433472152e-02	-8.877489e-01	-6.530299e-01
3.880182573981463e-02	-6.510381e-01	-6.671176e-01
3.968073198981463e-02	-1.550955e-01	-5.435318e-01
4.033474698640147e-02	2.531600e-01	-3.512491e-01
4.099677219995229e-02	6.230662e-01	-8.802794e-02
4.159617424292077e-02	8.673984e-01	1.700896e-01
4.186562447196329e-02	9.389464e-01	2.840796e-01
4.205608218743483e-02	9.733560e-01	3.599782e-01
4.221276324462740e-02	9.912037e-01	4.182283e-01
4.237290523326447e-02	9.994902e-01	4.731173e-01
4.255450629463288e-02	9.966091e-01	5.289034e-01
4.278637113494622e-02	9.740474e-01	5.879024e-01
4.316203884674971e-02	8.939173e-01	6.510058e-01
4.375919582739550e-02	6.669663e-01	6.687651e-01
4.463810207739550e-02	1.759814e-01	5.515851e-01
4.529352184884822e-02	-2.334760e-01	3.628187e-01
4.595867846569243e-02	-6.086305e-01	1.004329e-01
4.663225618532282e-02	-8.811631e-01	-1.885481e-01
4.688278795101842e-02	-9.444818e-01	-2.939924e-01
4.706654264892968e-02	-9.760895e-01	-3.666641e-01
4.722795834751359e-02	-9.931030e-01	-4.261626e-01
4.738605986450829e-02	-9.998381e-01	-4.798918e-01
4.755375536829106e-02	-9.961693e-01	-5.308906e-01
4.779077442714805e-02	-9.721056e-01	-5.903836e-01
4.817462710028523e-02	-8.877488e-01	-6.530299e-01
4.878385874175759e-02	-6.510378e-01	-6.671176e-01
4.966276499175758e-02	-1.550951e-01	-5.435317e-01
5.031677995878386e-02	2.531604e-01	-3.512489e-01
5.097880513741210e-02	6.230665e-01	-8.802769e-02
5.157820672935062e-02	8.673984e-01	1.700897e-01
5.184765686264033e-02	9.389465e-01	2.840797e-01
5.203811456552589e-02	9.733560e-01	3.599782e-01
5.219479563157890e-02	9.912037e-01	4.182283e-01
5.235493758511947e-02	9.994902e-01	4.731173e-01
5.253653864016380e-02	9.966091e-01	5.289034e-01
5.276840348282292e-02	9.740474e-01	5.879024e-01
5.314407119835474e-02	8.939173e-01	6.510058e-01
5.374122818451620e-02	6.669663e-01	6.687651e-01
5.462013443451620e-02	1.759814e-01	5.515851e-01
5.527555420454963e-02	-2.334760e-01	3.628187e-01
5.594071081930675e-02	-6.086305e-01	1.004329e-01
5.661428854415430e-02	-8.811632e-01	-1.885481e-01
5.686482030509361e-02	-9.444818e-01	-2.939924e-01
5.704857499986709e-02	-9.760895e-01	-3.666642e-01
5.720999070067470e-02	-9.931030e-01	-4.261627e-01
5.736809222650366e-02	-9.998381e-01	-4.798918e-01
5.753578771758981e-02	-9.961693e-01	-5.308906e-01
5.777280678114988e-02	-9.721056e-01	-5.903836e-01
5.815665946174913e-02	-8.877488e-01	-6.530299e-01
5.876589111419828e-02	-6.510378e-01	-6.671176e-01
5.964479736419828e-02	-1.550951e-01	-5.435317e-01
6.029881232984546e-02	2.531604e-01	-3.512489e-01
6.096083750684501e-02	6.230665e-01	-8.802768e-02
6.156023907784531e-02	8.673984e-01	1.700897e-01
6.182968920669354e-02	9.389465e-01	2.840797e-01
6.202014690899516e-02	9.733560e-01	3.599782e-01
6.217682797545925e-02	9.912037e-01	4.182283e-01
6.233696992737148e-02	9.994902e-01	4.731173e-01
6.251857098212239e-02	9.966091e-01	5.289034e-01
6.275043582489036e-02	9.740474e-01	5.879024e-01
6.312610354059515e-02	8.939173e-01	6.510058e-01
6.372326052701253e-02	6.669663e-01	6.687651e-01
6.460216677701254e-02	1.759814e-01	5.515851e-01
6.525758654698056e-02	-2.334760e-01	3.628187e-01
6.592274316164087e-02	-6.086305e-01	1.004329e-01
6.659632088673045e-02	-8.811632e-01	-1.885481e-01
6.684685264744895e-02	-9.444818e-01	-2.939924e-01
6.703060734207676e-02	-9.760895e-01	-3.666642e-01
6.719202304298760e-02	-9.931030e-01	-4.261627e-01
6.735012456922668e-02	-9.998381e-01	-4.798918e-01
6.751782005972341e-02	-9.961693e-01	-5.308906e-01
6.775483912350182e-02	-9.721056e-01	-5.903836e-01
6.813869180444747e-02	-8.877488e-01	-6.530299e-01
6.874792345740618e-02	-6.510378e-01	-6.671176e-01
6.962682970740619e-02	-1.550951e-01	-5.435317e-01
7.028084467298930e-02	2.531604e-01	-3.512489e-01
7.094286984991317e-02	6.230665e-01	-8.802768e-02
7.154227141994154e-02	8.673984e-01	1.700897e-01
7.181172154858362e-02	9.389465e-01	2.840797e-01
7.200217925085813e-02	9.733560e-01	3.599782e-01
7.215886031734130e-02	9.912037e-01	4.182283e-01
