v2	Ix(M1:D)
0.000000000000000e+00	-2.520060e-13
5.000000000000000e-01	5.988096e-02
1.000000000000000e+00	1.001706e-01
1.500000000000000e+00	1.206611e-01
2.000000000000000e+00	1.234468e-01
2.500000000000000e+00	1.234617e-01
3.000000000000000e+00	1.234621e-01
3.500000000000000e+00	1.234621e-01
4.000000000000000e+00	1.234621e-01
4.500000000000000e+00	1.234621e-01
5.000000000000000e+00	1.234621e-01
5.500000000000000e+00	1.234621e-01
6.000000000000000e+00	1.234621e-01
6.500000000000000e+00	1.234621e-01
7.000000000000000e+00	1.234621e-01
7.500000000000000e+00	1.234621e-01
8.000000000000000e+00	1.234621e-01
8.500000000000000e+00	1.234621e-01
9.000000000000000e+00	1.234621e-01
9.500000000000000e+00	1.234621e-01
1.000000000000000e+01	1.234621e-01
Step Information: V1=5  (Step: 6/11)
0.000000000000000e+00	-2.544499e-13
5.000000000000000e-01	9.156955e-02
1.000000000000000e+00	1.654640e-01
1.500000000000000e+00	2.213463e-01
2.000000000000000e+00	2.589323e-01
2.500000000000000e+00	2.780343e-01
3.000000000000000e+00	2.806306e-01
3.500000000000000e+00	2.806427e-01
4.000000000000000e+00	2.806430e-01
4.500000000000000e+00	2.806430e-01
5.000000000000000e+00	2.806430e-01
5.500000000000000e+00	2.806430e-01
6.000000000000000e+00	2.806430e-01
6.500000000000000e+00	2.806430e-01
7.000000000000000e+00	2.806430e-01
7.500000000000000e+00	2.806430e-01
8.000000000000000e+00	2.806430e-01
8.500000000000000e+00	2.806430e-01
9.000000000000000e+00	2.806430e-01
9.500000000000000e+00	2.806430e-01
1.000000000000000e+01	2.806430e-01
Step Information: V1=6  (Step: 7/11)
0.000000000000000e+00	-2.564271e-13
5.000000000000000e-01	1.185887e-01
1.000000000000000e+00	2.212349e-01
1.500000000000000e+00	3.075381e-01
2.000000000000000e+00	3.771323e-01
2.500000000000000e+00	4.297208e-01
3.000000000000000e+00	4.650745e-01
3.500000000000000e+00	4.830371e-01
4.000000000000000e+00	4.854782e-01
4.500000000000000e+00	4.854882e-01
5.000000000000000e+00	4.854885e-01
5.500000000000000e+00	4.854885e-01
6.000000000000000e+00	4.854885e-01
6.500000000000000e+00	4.854885e-01
7.000000000000000e+00	4.854885e-01
7.500000000000000e+00	4.854885e-01
8.000000000000000e+00	4.854885e-01
8.500000000000000e+00	4.854885e-01
9.000000000000000e+00	4.854885e-01
9.500000000000000e+00	4.854885e-01
1.000000000000000e+01	4.854885e-01
Step Information: V1=7  (Step: 8/11)
0.000000000000000e+00	-2.580877e-13
5.000000000000000e-01	1.418881e-01
1.000000000000000e+00	2.693748e-01
1.500000000000000e+00	3.820366e-01
2.000000000000000e+00	4.794705e-01
2.500000000000000e+00	5.613210e-01
3.000000000000000e+00	6.272811e-01
3.500000000000000e+00	6.770973e-01
4.000000000000000e+00	7.105747e-01
4.500000000000000e+00	7.275803e-01
5.000000000000000e+00	7.298912e-01
5.500000000000000e+00	7.298998e-01
6.000000000000000e+00	7.298999e-01
6.500000000000000e+00	7.298999e-01
7.000000000000000e+00	7.298999e-01
7.500000000000000e+00	7.298999e-01
8.000000000000000e+00	7.298999e-01
8.500000000000000e+00	7.298999e-01
9.000000000000000e+00	7.298999e-01
9.500000000000000e+00	7.298999e-01
1.000000000000000e+01	7.298999e-01
Step Information: V1=8  (Step: 9/11)
0.000000000000000e+00	-2.595192e-13
5.000000000000000e-01	1.621785e-01
1.000000000000000e+00	3.113167e-01
1.500000000000000e+00	4.469915e-01
2.000000000000000e+00	5.687903e-01
2.500000000000000e+00	6.763323e-01
3.000000000000000e+00	7.692697e-01
3.500000000000000e+00	8.472928e-01
4.000000000000000e+00	9.101346e-01
4.500000000000000e+00	9.575756e-01
5.000000000000000e+00	9.894470e-01
5.500000000000000e+00	1.005634e+00
6.000000000000000e+00	1.007834e+00
6.500000000000000e+00	1.007841e+00
7.000000000000000e+00	1.007841e+00
7.500000000000000e+00	1.007841e+00
8.000000000000000e+00	1.007841e+00
8.500000000000000e+00	1.007841e+00
9.000000000000000e+00	1.007841e+00
9.500000000000000e+00	1.007841e+00
1.000000000000000e+01	1.007841e+00
Step Information: V1=9  (Step: 10/11)
0.000000000000000e+00	-2.607773e-13
5.000000000000000e-01	1.800026e-01
1.000000000000000e+00	3.481632e-01
1.500000000000000e+00	5.040728e-01
2.000000000000000e+00	6.473259e-01
2.500000000000000e+00	7.775373e-01
3.000000000000000e+00	8.943432e-01
3.500000000000000e+00	9.974056e-01
4.000000000000000e+00	1.086417e+00
4.500000000000000e+00	1.161104e+00
5.000000000000000e+00	1.221232e+00
5.500000000000000e+00	1.266608e+00
6.000000000000000e+00	1.297085e+00
6.500000000000000e+00	1.312562e+00
7.000000000000000e+00	1.314665e+00
7.500000000000000e+00	1.314671e+00
8.000000000000000e+00	1.314672e+00
8.500000000000000e+00	1.314672e+00
9.000000000000000e+00	1.314672e+00
9.500000000000000e+00	1.314672e+00
1.000000000000000e+01	1.314672e+00
Step Information: V1=10  (Step: 11/11)
0.000000000000000e+00	-2.618996e-13
5.000000000000000e-01	1.957805e-01
1.000000000000000e+00	3.807743e-01
1.500000000000000e+00	5.545934e-01
2.000000000000000e+00	7.168489e-01
2.500000000000000e+00	8.671640e-01
3.000000000000000e+00	1.005175e+00
3.500000000000000e+00	1.130534e+00
4.000000000000000e+00	1.242915e+00
4.500000000000000e+00	1.342015e+00
5.000000000000000e+00	1.427559e+00
5.500000000000000e+00	1.499304e+00
6.000000000000000e+00	1.557042e+00
6.500000000000000e+00	1.600602e+00
7.000000000000000e+00	1.629853e+00
7.500000000000000e+00	1.644706e+00
8.000000000000000e+00	1.646724e+00
8.500000000000000e+00	1.646730e+00
9.000000000000000e+00	1.646730e+00
9.500000000000000e+00	1.646730e+00
1.000000000000000e+01	1.646730e+00
