v1	I(D1)
1.050000000000001e+00	2.518755e-01
1.060000000000001e+00	2.609592e-01
1.070000000000001e+00	2.700714e-01
1.080000000000001e+00	2.792107e-01
1.090000000000001e+00	2.883753e-01
1.100000000000001e+00	2.975640e-01
1.110000000000001e+00	3.067755e-01
1.120000000000001e+00	3.160085e-01
1.130000000000001e+00	3.252620e-01
1.140000000000001e+00	3.345349e-01
1.150000000000001e+00	3.438263e-01
1.160000000000001e+00	3.531353e-01
1.170000000000001e+00	3.624612e-01
1.180000000000001e+00	3.718030e-01
1.190000000000001e+00	3.811601e-01
1.200000000000001e+00	3.905318e-01
1.210000000000001e+00	3.999176e-01
1.220000000000001e+00	4.093167e-01
1.230000000000001e+00	4.187287e-01
1.240000000000001e+00	4.281530e-01
1.250000000000001e+00	4.375892e-01
1.260000000000001e+00	4.470367e-01
1.270000000000001e+00	4.564951e-01
1.280000000000001e+00	4.659641e-01
1.290000000000001e+00	4.754432e-01
1.300000000000001e+00	4.849321e-01
1.310000000000001e+00	4.944304e-01
1.320000000000001e+00	5.039377e-01
1.330000000000001e+00	5.134539e-01
1.340000000000001e+00	5.229785e-01
1.350000000000001e+00	5.325112e-01
1.360000000000001e+00	5.420520e-01
1.370000000000001e+00	5.516003e-01
1.380000000000001e+00	5.611561e-01
1.390000000000001e+00	5.707190e-01
1.400000000000001e+00	5.802889e-01
1.410000000000001e+00	5.898655e-01
1.420000000000001e+00	5.994487e-01
1.430000000000001e+00	6.090382e-01
1.440000000000001e+00	6.186339e-01
1.450000000000001e+00	6.282355e-01
1.460000000000001e+00	6.378430e-01
1.470000000000001e+00	6.474560e-01
1.480000000000001e+00	6.570746e-01
1.490000000000001e+00	6.666985e-01
1.500000000000001e+00	6.763276e-01
1.510000000000001e+00	6.859618e-01
1.520000000000001e+00	6.956009e-01
1.530000000000001e+00	7.052447e-01
1.540000000000001e+00	7.148933e-01
1.550000000000001e+00	7.245464e-01
1.560000000000001e+00	7.342039e-01
1.570000000000001e+00	7.438657e-01
1.580000000000001e+00	7.535318e-01
1.590000000000001e+00	7.632020e-01
1.600000000000001e+00	7.728762e-01
1.610000000000001e+00	7.825543e-01
1.620000000000001e+00	7.922363e-01
1.630000000000001e+00	8.019220e-01
1.640000000000001e+00	8.116113e-01
1.650000000000001e+00	8.213043e-01
1.660000000000001e+00	8.310007e-01
1.670000000000001e+00	8.407005e-01
1.680000000000001e+00	8.504037e-01
1.690000000000001e+00	8.601102e-01
1.700000000000001e+00	8.698198e-01
1.710000000000001e+00	8.795326e-01
1.720000000000001e+00	8.892484e-01
1.730000000000001e+00	8.989673e-01
1.740000000000001e+00	9.086891e-01
1.750000000000001e+00	9.184137e-01
1.760000000000001e+00	9.281412e-01
1.770000000000001e+00	9.378715e-01
1.780000000000001e+00	9.476044e-01
1.790000000000001e+00	9.573401e-01
1.800000000000001e+00	9.670783e-01
1.810000000000001e+00	9.768190e-01
1.820000000000001e+00	9.865624e-01
1.830000000000001e+00	9.963081e-01
1.840000000000001e+00	1.006056e+00
1.850000000000001e+00	1.015807e+00
1.860000000000001e+00	1.025560e+00
1.870000000000001e+00	1.035315e+00
1.880000000000001e+00	1.045072e+00
1.890000000000001e+00	1.054832e+00
1.900000000000001e+00	1.064593e+00
1.910000000000001e+00	1.074357e+00
1.920000000000001e+00	1.084123e+00
1.930000000000001e+00	1.093891e+00
1.940000000000002e+00	1.103661e+00
1.950000000000002e+00	1.113433e+00
1.960000000000002e+00	1.123207e+00
1.970000000000002e+00	1.132983e+00
1.980000000000002e+00	1.142761e+00
1.990000000000002e+00	1.152540e+00
2.000000000000001e+00	1.162322e+00
2.010000000000001e+00	1.172105e+00
2.020000000000001e+00	1.181890e+00
2.030000000000001e+00	1.191677e+00
2.040000000000000e+00	1.201465e+00
2.050000000000000e+00	1.211255e+00
2.060000000000000e+00	1.221047e+00
2.070000000000000e+00	1.230840e+00
2.080000000000000e+00	1.240635e+00
2.089999999999999e+00	1.250432e+00
2.099999999999999e+00	1.260230e+00
2.109999999999999e+00	1.270030e+00
2.119999999999999e+00	1.279831e+00
2.129999999999999e+00	1.289634e+00
2.139999999999998e+00	1.299438e+00
2.149999999999998e+00	1.309243e+00
2.159999999999998e+00	1.319050e+00
2.169999999999998e+00	1.328858e+00
2.179999999999997e+00	1.338668e+00
2.189999999999997e+00	1.348479e+00
2.199999999999997e+00	1.358292e+00
2.209999999999997e+00	1.368106e+00
2.219999999999997e+00	1.377921e+00
2.229999999999996e+00	1.387737e+00
2.239999999999996e+00	1.397555e+00
2.249999999999996e+00	1.407374e+00
2.259999999999996e+00	1.417194e+00
2.269999999999996e+00	1.427015e+00
2.279999999999995e+00	1.436838e+00
2.289999999999995e+00	1.446662e+00
2.299999999999995e+00	1.456486e+00
2.309999999999995e+00	1.466313e+00
2.319999999999995e+00	1.476140e+00
2.329999999999994e+00	1.485968e+00
2.339999999999994e+00	1.495798e+00
2.349999999999994e+00	1.505628e+00
2.359999999999994e+00	1.515460e+00
2.369999999999993e+00	1.525293e+00
2.379999999999993e+00	1.535126e+00
2.389999999999993e+00	1.544961e+00
2.399999999999993e+00	1.554797e+00
2.409999999999993e+00	1.564634e+00
2.419999999999992e+00	1.574472e+00
2.429999999999992e+00	1.584311e+00
2.439999999999992e+00	1.594151e+00
2.449999999999992e+00	1.603991e+00
2.459999999999992e+00	1.613833e+00
2.469999999999991e+00	1.623676e+00
2.479999999999991e+00	1.633520e+00
2.489999999999991e+00	1.643364e+00
2.499999999999991e+00	1.653210e+00
2.509999999999990e+00	1.663056e+00
2.519999999999990e+00	1.672903e+00
2.529999999999990e+00	1.682752e+00
2.539999999999990e+00	1.692601e+00
2.549999999999990e+00	1.702451e+00
2.559999999999989e+00	1.712301e+00
2.569999999999989e+00	1.722153e+00
2.579999999999989e+00	1.732005e+00
2.589999999999989e+00	1.741859e+00
2.599999999999989e+00	1.751713e+00
2.609999999999988e+00	1.761568e+00
2.619999999999988e+00	1.771423e+00
2.629999999999988e+00	1.781280e+00
2.639999999999988e+00	1.791137e+00
2.649999999999987e+00	1.800995e+00
2.659999999999987e+00	1.810854e+00
2.669999999999987e+00	1.820713e+00
2.679999999999987e+00	1.830574e+00
2.689999999999987e+00	1.840435e+00
2.699999999999986e+00	1.850296e+00
2.709999999999986e+00	1.860159e+00
2.719999999999986e+00	1.870022e+00
2.729999999999986e+00	1.879886e+00
2.739999999999986e+00	1.889751e+00
2.749999999999985e+00	1.899616e+00
2.759999999999985e+00	1.909482e+00
2.769999999999985e+00	1.919349e+00
2.779999999999985e+00	1.929216e+00
2.789999999999984e+00	1.939084e+00
2.799999999999984e+00	1.948953e+00
2.809999999999984e+00	1.958822e+00
2.819999999999984e+00	1.968692e+00
2.829999999999984e+00	1.978563e+00
2.839999999999983e+00	1.988434e+00
2.849999999999983e+00	1.998306e+00
2.859999999999983e+00	2.008179e+00
2.869999999999983e+00	2.018052e+00
2.879999999999983e+00	2.027925e+00
2.889999999999982e+00	2.037800e+00
2.899999999999982e+00	2.047675e+00
2.909999999999982e+00	2.057550e+00
2.919999999999982e+00	2.067427e+00
2.929999999999982e+00	2.077303e+00
2.939999999999981e+00	2.087181e+00
2.949999999999981e+00	2.097059e+00
2.959999999999981e+00	2.106937e+00
2.969999999999981e+00	2.116816e+00
2.979999999999980e+00	2.126696e+00
2.989999999999980e+00	2.136576e+00
2.999999999999980e+00	2.146456e+00
3.009999999999980e+00	2.156337e+00
3.019999999999980e+00	2.166219e+00
3.029999999999979e+00	2.176101e+00
3.039999999999979e+00	2.185984e+00
3.049999999999979e+00	2.195868e+00
3.059999999999979e+00	2.205751e+00
3.069999999999979e+00	2.215636e+00
3.079999999999978e+00	2.225521e+00
3.089999999999978e+00	2.235406e+00
3.099999999999978e+00	2.245292e+00
3.109999999999978e+00	2.255178e+00
3.119999999999977e+00	2.265065e+00
3.129999999999977e+00	2.274952e+00
3.139999999999977e+00	2.284840e+00
3.149999999999977e+00	2.294729e+00
3.159999999999977e+00	2.304617e+00
3.169999999999976e+00	2.314507e+00
3.179999999999976e+00	2.324396e+00
3.189999999999976e+00	2.334286e+00
3.199999999999976e+00	2.344177e+00
3.209999999999976e+00	2.354068e+00
3.219999999999975e+00	2.363960e+00
3.229999999999975e+00	2.373852e+00
3.239999999999975e+00	2.383744e+00
