time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.871560121620805e-08	1.702801e-05	-1.680751e-12
7.743120243241610e-08	3.405602e-05	2.962814e-13
1.161468036486241e-07	5.108403e-05	5.931096e-12
1.548624048648322e-07	6.811204e-05	1.522369e-11
1.935780060810402e-07	8.514005e-05	2.817407e-11
2.322936072972483e-07	1.021681e-04	4.478224e-11
2.710092085134563e-07	1.191961e-04	6.504818e-11
3.622077703077286e-07	1.593073e-04	1.538659e-10
4.712350248214863e-07	2.072600e-04	3.384311e-10
6.268292647119921e-07	2.756939e-04	7.931825e-10
8.209424154973005e-07	3.610693e-04	1.777164e-09
1.088466578185150e-06	4.787326e-04	4.121179e-09
1.431369783969194e-06	6.295493e-04	9.324679e-09
1.896521195475501e-06	8.341335e-04	2.152239e-08
2.503528169201767e-06	1.101109e-03	4.905013e-08
3.322555511449048e-06	1.461336e-03	1.131798e-07
4.407115224560296e-06	1.938349e-03	2.597829e-07
5.875417092705507e-06	2.584141e-03	6.018862e-07
7.852535211162214e-06	3.453718e-03	1.395203e-06
1.056598523524356e-05	4.647146e-03	3.267002e-06
1.431475127845499e-05	6.295915e-03	7.707068e-06
1.962048611786360e-05	8.629434e-03	1.848344e-05
2.731065985878999e-05	1.201157e-02	4.528351e-05
3.895818397893165e-05	1.713387e-02	1.152831e-04
5.774706589401702e-05	2.539575e-02	3.051616e-04
8.480147022355336e-05	3.728899e-02	7.600295e-04
1.304128591110841e-04	5.732713e-02	2.049972e-03
2.166741168486010e-04	9.515408e-02	6.244446e-03
3.891966323236347e-04	1.703429e-01	2.038076e-02
6.812110746516086e-04	2.951498e-01	5.770887e-02
1.085765681264448e-03	4.595999e-01	1.308555e-01
1.640997535271846e-03	6.606981e-01	2.570052e-01
2.341288172483682e-03	8.571715e-01	4.334560e-01
2.776151281431966e-03	9.394477e-01	5.435355e-01
3.047869411848171e-03	9.736040e-01	6.084173e-01
3.272703825620208e-03	9.913813e-01	6.575394e-01
3.499507238203086e-03	9.994997e-01	7.019596e-01
3.758974922994990e-03	9.965999e-01	7.454489e-01
4.090965898846967e-03	9.740062e-01	7.871208e-01
4.628853189514850e-03	8.937858e-01	8.177767e-01
5.483844592211261e-03	6.666251e-01	7.860281e-01
6.362750842211261e-03	3.364162e-01	6.567293e-01
7.241657092211261e-03	-4.344081e-02	4.360609e-01
8.120563342211262e-03	-4.168868e-01	1.537492e-01
8.999469592211262e-03	-7.288089e-01	-1.514869e-01
9.727220552336189e-03	-9.072347e-01	-3.972549e-01
1.004940310050227e-02	-9.575460e-01	-4.967037e-01
1.028804601717396e-02	-9.824789e-01	-5.625883e-01
1.053440227037528e-02	-9.968719e-01	-6.228376e-01
1.086159421073451e-02	-9.979019e-01	-6.914371e-01
1.116837184247826e-02	-9.801227e-01	-7.411857e-01
1.166607536259195e-02	-9.136512e-01	-7.861981e-01
1.246107399739852e-02	-7.191086e-01	-7.822247e-01
1.333998024739852e-02	-4.040642e-01	-6.783602e-01
1.421888649739852e-02	-2.938817e-02	-4.776014e-01
1.509779274739852e-02	3.496250e-01	-2.065687e-01
1.597669899739852e-02	6.770406e-01	9.483029e-02
1.685560524739852e-02	9.045389e-01	3.925142e-01
1.718169370688306e-02	9.561959e-01	4.938188e-01
1.742298375033783e-02	9.818238e-01	5.606689e-01
1.766769096397687e-02	9.965305e-01	6.207144e-01
1.800087511450462e-02	9.980025e-01	6.908318e-01
1.830541032997227e-02	9.806272e-01	7.405019e-01
1.879952962783769e-02	9.153245e-01	7.858036e-01
1.958912545863461e-02	7.236184e-01	7.831894e-01
2.046803170863461e-02	4.100122e-01	6.809759e-01
2.134693795863461e-02	3.589656e-02	4.816793e-01
2.222584420863461e-02	-3.435167e-01	2.115156e-01
2.310475045863461e-02	-6.722339e-01	-8.973950e-02
