time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
4.543171225264839e-07	2.854559e-06	-4.401318e-11
9.086342450529678e-07	5.709118e-06	-5.672197e-12
1.362951367579452e-06	8.563676e-06	1.150230e-10
1.817268490105936e-06	1.141824e-05	3.180723e-10
2.271585612632420e-06	1.427279e-05	6.034758e-10
2.725902735158903e-06	1.712735e-05	9.712334e-10
3.180219857685386e-06	1.998191e-05	1.421345e-09
4.209529595481701e-06	2.644925e-05	3.244729e-09
5.616565708917324e-06	3.528992e-05	7.540677e-09
7.493701928782049e-06	4.708432e-05	1.741561e-08
1.008062401705379e-05	6.333843e-05	4.081362e-08
1.363027121759431e-05	8.564152e-05	9.595783e-08
1.865288840620587e-05	1.171996e-04	2.297659e-07
2.587839461187483e-05	1.625987e-04	5.599885e-07
3.675633437731414e-05	2.309469e-04	1.416112e-06
5.406153919092823e-05	3.396787e-04	3.714383e-06
7.949142879014535e-05	4.994593e-04	9.333995e-06
1.209716557883260e-04	7.600873e-04	2.468387e-05
1.976088664098983e-04	1.241613e-03	7.329680e-05
3.508832876530428e-04	2.204663e-03	2.407599e-04
6.383705754988492e-04	4.010990e-03	7.466874e-04
1.038219044213251e-03	6.523276e-03	1.795923e-03
1.633415577719254e-03	1.026287e-02	3.931247e-03
2.431766856208514e-03	1.527865e-02	7.499086e-03
3.310673106208514e-03	2.080007e-02	1.203743e-02
4.189579356208515e-03	2.632086e-02	1.698953e-02
5.068485606208515e-03	3.184085e-02	2.218800e-02
5.947391856208515e-03	3.735987e-02	2.752564e-02
7.705204356208516e-03	4.839432e-02	3.840156e-02
9.714132927637087e-03	6.100282e-02	5.098392e-02
1.172306149906566e-02	7.359659e-02	6.356009e-02
1.373199007049423e-02	8.617563e-02	7.613005e-02
1.574091864192280e-02	9.873994e-02	8.869382e-02
1.774984721335137e-02	1.112895e-01	1.012514e-01
1.975877578477994e-02	1.238244e-01	1.138028e-01
2.176770435620851e-02	1.363445e-01	1.263479e-01
3.093344096335138e-02	1.935923e-01	1.836866e-01
4.009917757049426e-02	2.497435e-01	2.399603e-01
4.926491417763713e-02	3.047982e-01	2.951689e-01
5.843065078478001e-02	3.587562e-01	3.493124e-01
6.759638739192288e-02	4.116176e-01	4.023908e-01
7.676212399906575e-02	4.633825e-01	4.544042e-01
8.592786060620859e-02	5.140508e-01	5.053525e-01
9.948812846335153e-02	5.862515e-01	5.780286e-01
1.130483963204945e-01	6.531013e-01	6.454029e-01
1.266086641776374e-01	7.146002e-01	7.074754e-01
1.401689320347804e-01	7.707483e-01	7.642462e-01
1.537291998919233e-01	8.215455e-01	8.157152e-01
1.672894677490663e-01	8.669919e-01	8.618824e-01
1.808497356062092e-01	9.070874e-01	9.027479e-01
1.890110079276378e-01	9.275633e-01	9.236990e-01
1.971722802490664e-01	9.455026e-01	9.421202e-01
2.053335525704951e-01	9.609052e-01	9.580118e-01
2.134948248919237e-01	9.737711e-01	9.713736e-01
2.216560972133523e-01	9.841004e-01	9.822057e-01
2.298173695347809e-01	9.918929e-01	9.905080e-01
2.379786418562095e-01	9.971488e-01	9.962806e-01
2.401131284633524e-01	9.980713e-01	9.973379e-01
2.422476150704952e-01	9.988141e-01	9.982155e-01
2.443821016776381e-01	9.993771e-01	9.989135e-01
2.465165882847810e-01	9.997604e-01	9.994317e-01
2.486510748919238e-01	9.999639e-01	9.997703e-01
2.507855614990667e-01	9.999877e-01	9.999292e-01
2.529200481062095e-01	9.998317e-01	9.999084e-01
2.583190436419237e-01	9.986224e-01	9.990418e-01
2.637180391776379e-01	9.962746e-01	9.970353e-01
2.691170347133520e-01	9.927884e-01	9.938888e-01
2.745160302490662e-01	9.881638e-01	9.896025e-01
2.799150257847803e-01	9.824007e-01	9.841763e-01
2.853140213204944e-01	9.754992e-01	9.776102e-01
2.907130168562086e-01	9.674593e-01	9.699042e-01
3.017621239990654e-01	9.472014e-01	9.503260e-01
3.128112311419223e-01	9.227349e-01	9.265166e-01
3.238603382847792e-01	8.940597e-01	8.984758e-01
3.349094454276361e-01	8.611758e-01	8.662038e-01
3.459585525704929e-01	8.240833e-01	8.297004e-01
3.570076597133498e-01	7.827821e-01	7.889657e-01
3.680567668562066e-01	7.372722e-01	7.439997e-01
3.799847802490635e-01	6.837525e-01	6.910289e-01
3.919127936419203e-01	6.272370e-01	6.350152e-01
4.038408070347772e-01	5.677258e-01	5.759586e-01
4.157688204276340e-01	5.052188e-01	5.138591e-01
4.276968338204908e-01	4.397160e-01	4.487167e-01
4.396248472133477e-01	3.712174e-01	3.805315e-01
4.515528606062045e-01	2.997231e-01	3.093033e-01
4.579563204276330e-01	2.609465e-01	2.706450e-01
4.643597802490613e-01	2.219068e-01	2.317074e-01
