time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.765193133521949e-08	1.182870e-05	-8.494579e-13
7.530386267043898e-08	2.365741e-05	6.442297e-13
1.129557940056585e-07	3.548611e-05	4.481063e-12
1.506077253408780e-07	4.731481e-05	1.066104e-11
1.882596566760975e-07	5.914352e-05	1.918417e-11
2.259115880113169e-07	7.097222e-05	3.005044e-11
2.635635193465363e-07	8.280092e-05	4.325985e-11
3.461593723071132e-07	1.087492e-04	9.622485e-11
4.554165388047563e-07	1.430733e-04	2.181639e-10
5.995390190175730e-07	1.883507e-04	4.963231e-10
7.907607890431426e-07	2.484248e-04	1.134735e-09
1.042651404148235e-06	3.275586e-04	2.590185e-09
1.376468955170644e-06	4.324305e-04	5.927074e-09
1.817960563933747e-06	5.711291e-04	1.355971e-08
2.404718349933168e-06	7.554645e-04	3.109333e-08
3.185132876916045e-06	1.000639e-03	7.137904e-08
4.228604213398579e-06	1.328455e-03	1.643507e-07
5.629254472242704e-06	1.768482e-03	3.795417e-07
7.523792120725548e-06	2.363667e-03	8.808214e-07
1.010870784585666e-05	3.175739e-03	2.057062e-06
1.368290887602834e-05	4.298599e-03	4.849891e-06
1.871353051975778e-05	5.878995e-03	1.159185e-05
2.598272325418039e-05	8.162622e-03	2.830254e-05
3.689957137116450e-05	1.159208e-02	7.152696e-05
5.432005503420358e-05	1.706432e-02	1.878790e-04
7.983780062714219e-05	2.507916e-02	4.714500e-04
1.216076346339877e-04	3.819487e-02	1.248670e-03
1.987628277341845e-04	6.240261e-02	3.707921e-03
3.530732139345782e-04	1.106939e-01	1.212918e-02
6.368470787980684e-04	1.987393e-01	3.681745e-02
1.027205317814814e-03	3.171341e-01	8.646331e-02
1.591338836945512e-03	4.793675e-01	1.810558e-01
2.316598617681982e-03	6.652144e-01	3.236950e-01
3.195504867681982e-03	8.435704e-01	5.036212e-01
4.074411117681982e-03	9.580199e-01	6.740866e-01
4.407198636284112e-03	9.827085e-01	7.308937e-01
4.752919700613791e-03	9.969889e-01	7.803056e-01
5.208008979472061e-03	9.978656e-01	8.330674e-01
5.638611876058227e-03	9.799420e-01	8.670991e-01
6.337177185239390e-03	9.130536e-01	8.871865e-01
7.216083435239390e-03	7.672827e-01	8.591849e-01
8.094989685239390e-03	5.633845e-01	7.712526e-01
8.973895935239390e-03	3.168060e-01	6.259739e-01
9.852802185239391e-03	4.622708e-02	4.338859e-01
1.073170843523939e-02	-2.278538e-01	2.092748e-01
1.161061468523939e-02	-4.846732e-01	-3.099374e-02
1.248952093523939e-02	-7.047751e-01	-2.688030e-01
1.336842718523939e-02	-8.714852e-01	-4.875549e-01
1.413694690811110e-02	-9.634672e-01	-6.555204e-01
1.445416302174183e-02	-9.853333e-01	-7.142594e-01
1.480982187150366e-02	-9.982157e-01	-7.687810e-01
1.522924323620746e-02	-9.974077e-01	-8.206219e-01
1.567315652791110e-02	-9.777217e-01	-8.577334e-01
1.639296763506487e-02	-9.057655e-01	-8.798366e-01
1.727187388506487e-02	-7.559251e-01	-8.512231e-01
1.815078013506487e-02	-5.488179e-01	-7.612545e-01
1.902968638506487e-02	-3.001339e-01	-6.136835e-01
1.990859263506486e-02	-2.871252e-02	-4.196602e-01
2.078749888506486e-02	2.448840e-01	-1.938665e-01
2.166640513506486e-02	4.999288e-01	4.660161e-02
2.254531138506486e-02	7.171004e-01	2.835323e-01
2.342421763506486e-02	8.799465e-01	5.007990e-01
2.415858838364490e-02	9.652659e-01	6.598818e-01
2.447044620221210e-02	9.861934e-01	7.170627e-01
2.482960120228270e-02	9.985675e-01	7.716800e-01
2.523661479568716e-02	9.972385e-01	8.215306e-01
2.568514737832792e-02	9.769240e-01	8.584701e-01
2.641232171630387e-02	9.031721e-01	8.798705e-01
2.729122796630386e-02	7.519307e-01	8.499300e-01
2.817013421630386e-02	5.437251e-01	7.585980e-01
2.904904046630386e-02	2.943284e-01	6.098666e-01
2.992794671630386e-02	2.263427e-02	4.149730e-01
