time	V(n001)	V(n003)
1.270891269339628e-01	9.913973e-01	9.938277e-01
1.288469394339628e-01	9.709300e-01	9.843976e-01
1.306047519339628e-01	9.386309e-01	9.629716e-01
1.323625644339628e-01	8.948936e-01	9.298107e-01
1.341203769339628e-01	8.402511e-01	8.853191e-01
1.358781894339628e-01	7.753692e-01	8.300389e-01
1.376360019339628e-01	7.010387e-01	7.646439e-01
1.393938144339628e-01	6.181651e-01	6.899308e-01
1.411516269339629e-01	5.277587e-01	6.068102e-01
1.429094394339629e-01	4.309209e-01	5.162950e-01
1.446672519339629e-01	3.288319e-01	4.194882e-01
1.464250644339629e-01	2.227357e-01	3.175694e-01
1.481828769339629e-01	1.139253e-01	2.117808e-01
1.499406894339629e-01	3.726584e-03	1.034114e-01
1.516985019339629e-01	-1.065176e-01	-6.218229e-03
1.534563144339629e-01	-2.154637e-01	-1.157721e-01
1.552141269339629e-01	-3.217841e-01	-2.239151e-01
1.569719394339630e-01	-4.241833e-01	-3.293295e-01
1.587297519339630e-01	-5.214134e-01	-4.307306e-01
1.604875644339630e-01	-6.122895e-01	-5.268828e-01
1.622453769339630e-01	-6.957042e-01	-6.166145e-01
1.640031894339630e-01	-7.706410e-01	-6.988320e-01
1.657610019339630e-01	-8.361867e-01	-7.725335e-01
1.675188144339630e-01	-8.915426e-01	-8.368208e-01
1.692766269339630e-01	-9.360341e-01	-8.909106e-01
1.710344394339630e-01	-9.691190e-01	-9.341438e-01
1.727922519339631e-01	-9.903942e-01	-9.659934e-01
1.745500644339631e-01	-9.996004e-01	-9.860713e-01
1.763078769339631e-01	-9.966254e-01	-9.941329e-01
1.780656894339631e-01	-9.815055e-01	-9.900800e-01
1.798235019339631e-01	-9.544249e-01	-9.739619e-01
1.815813144339631e-01	-9.157135e-01	-9.459750e-01
1.833391269339631e-01	-8.658434e-01	-9.064604e-01
1.850969394339631e-01	-8.054219e-01	-8.558996e-01
1.868547519339631e-01	-7.351855e-01	-7.949088e-01
1.886125644339632e-01	-6.559901e-01	-7.242312e-01
1.903703769339632e-01	-5.688008e-01	-6.447281e-01
1.921281894339632e-01	-4.746800e-01	-5.573682e-01
1.938860019339632e-01	-3.747748e-01	-4.632163e-01
1.956438144339632e-01	-2.703025e-01	-3.634195e-01
1.974016269339632e-01	-1.625363e-01	-2.591941e-01
1.991594394339632e-01	-5.278943e-02	-1.518102e-01
2.009172519339632e-01	5.760074e-02	-4.257626e-02
2.026750644339632e-01	1.672890e-01	6.717649e-02
2.044328769339633e-01	2.749386e-01	1.761106e-01
2.061906894339633e-01	3.792379e-01	2.828987e-01
2.079485019339633e-01	4.789157e-01	3.862393e-01
2.097063144339633e-01	5.727574e-01	4.848732e-01
2.114641269339633e-01	6.596195e-01	5.775984e-01
2.132219394339633e-01	7.384434e-01	6.632849e-01
2.149797519339633e-01	8.082685e-01	7.408886e-01
2.167375644339633e-01	8.682441e-01	8.094639e-01
2.184953769339633e-01	9.176392e-01	8.681749e-01
2.202531894339634e-01	9.558519e-01	9.163063e-01
2.220110019339634e-01	9.824166e-01	9.532715e-01
2.237688144339634e-01	9.970094e-01	9.786201e-01
2.255266269339634e-01	9.994526e-01	9.920432e-01
2.272844394339634e-01	9.897165e-01	9.933772e-01
2.290422519339634e-01	9.679195e-01	9.826058e-01
2.308000644339634e-01	9.343275e-01	9.598603e-01
2.325578769339634e-01	8.893497e-01	9.254180e-01
2.343156894339634e-01	8.335342e-01	8.796984e-01
2.360735019339635e-01	7.675613e-01	8.232588e-01
2.378313144339635e-01	6.922347e-01	7.567869e-01
2.395891269339635e-01	6.084726e-01	6.810927e-01
2.413469394339635e-01	5.172956e-01	5.970987e-01
2.431047519339635e-01	4.198148e-01	5.058284e-01
2.448625644339635e-01	3.172181e-01	4.083941e-01
2.466203769339635e-01	2.107557e-01	3.059830e-01
2.483781894339635e-01	1.017251e-01	1.998433e-01
2.501360019339635e-01	-8.545149e-03	9.126817e-02
2.518938144339635e-01	-1.187113e-01	-1.841910e-02
2.536516269339634e-01	-2.274308e-01	-1.278819e-01
2.554094394339634e-01	-3.333788e-01	-2.357864e-01
2.571672519339633e-01	-4.352642e-01	-3.408175e-01
2.589250644339633e-01	-5.318455e-01	-4.416954e-01
2.606828769339632e-01	-6.219457e-01	-5.371908e-01
2.624406894339632e-01	-7.044668e-01	-6.261399e-01
2.641985019339632e-01	-7.784032e-01	-7.074590e-01
2.659563144339631e-01	-8.428540e-01	-7.801568e-01
2.677141269339631e-01	-8.970337e-01	-8.433475e-01
2.694719394339630e-01	-9.402821e-01	-8.962613e-01
2.712297519339630e-01	-9.720721e-01	-9.382531e-01
2.729875644339629e-01	-9.920165e-01	-9.688113e-01
2.747453769339629e-01	-9.998720e-01	-9.875636e-01
2.765031894339628e-01	-9.955431e-01	-9.942812e-01
2.782610019339628e-01	-9.790824e-01	-9.888826e-01
2.800188144339628e-01	-9.506906e-01	-9.714333e-01
2.817766269339627e-01	-9.107136e-01	-9.421461e-01
2.835344394339627e-01	-8.596385e-01	-9.013779e-01
2.852922519339626e-01	-7.980879e-01	-8.496254e-01
2.870500644339626e-01	-7.268117e-01	-7.875193e-01
2.888078769339625e-01	-6.466785e-01	-7.158165e-01
2.905656894339625e-01	-5.586649e-01	-6.353907e-01
2.923235019339624e-01	-4.638434e-01	-5.472220e-01
2.940813144339624e-01	-3.633694e-01	-4.523848e-01
2.958391269339624e-01	-2.584674e-01	-3.520348e-01
2.975969394339623e-01	-1.504157e-01	-2.473949e-01
2.993547519339623e-01	-4.053103e-02	-1.397402e-01
3.011125644339622e-01	6.984757e-02	-3.038266e-02
3.028703769339622e-01	1.793750e-01	7.934514e-02
3.046281894339621e-01	2.867166e-01	1.881060e-01
3.063860019339621e-01	3.905641e-01	2.945746e-01
3.081438144339620e-01	4.896523e-01	3.974536e-01
3.099016269339620e-01	5.827736e-01	4.954891e-01
3.116594394339620e-01	6.687931e-01	5.874866e-01
3.134172519339619e-01	7.466626e-01	6.723249e-01
3.151750644339619e-01	8.154333e-01	7.489702e-01
3.169328769339618e-01	8.742671e-01	8.164886e-01
3.186906894339618e-01	9.224470e-01	8.740571e-01
3.204485019339617e-01	9.593859e-01	9.209744e-01
3.222063144339617e-01	9.846337e-01	9.566686e-01
3.239641269339616e-01	9.978827e-01	9.807047e-01
3.257219394339616e-01	9.989714e-01	9.927900e-01
3.274797519339616e-01	9.878865e-01	9.927770e-01
3.292375644339615e-01	9.647633e-01	9.806660e-01
3.309953769339615e-01	9.298834e-01	9.566046e-01
3.327531894339614e-01	8.836718e-01	9.208859e-01
3.345110019339614e-01	8.266918e-01	8.739452e-01
3.362688144339613e-01	7.596377e-01	8.163546e-01
3.380266269339613e-01	6.833265e-01	7.488159e-01
3.397844394339612e-01	5.986884e-01	6.721520e-01
3.415422519339612e-01	5.067546e-01	5.872973e-01
3.433000644339612e-01	4.086454e-01	4.952857e-01
3.450578769339611e-01	3.055564e-01	3.972385e-01
3.468156894339611e-01	1.987439e-01	2.943505e-01
3.485735019339610e-01	8.950956e-02	1.878756e-01
3.503313144339610e-01	-2.081560e-02	7.911124e-02
3.520891269339609e-01	-1.308871e-01	-3.061720e-02
3.538469394339609e-01	-2.393636e-01	-1.399725e-01
3.556047519339608e-01	-3.449232e-01	-2.476222e-01
3.573625644339608e-01	-4.462795e-01	-3.522542e-01
3.591203769339608e-01	-5.421975e-01	-4.525937e-01
3.608781894339607e-01	-6.315082e-01	-5.474179e-01
3.626360019339607e-01	-7.131233e-01	-6.355712e-01
3.643938144339606e-01	-7.860482e-01	-7.159793e-01
3.661516269339606e-01	-8.493944e-01	-7.876626e-01
3.679094394339605e-01	-9.023897e-01	-8.497473e-01
3.696672519339605e-01	-9.443884e-01	-9.014769e-01
3.714250644339605e-01	-9.748788e-01	-9.422211e-01
3.731828769339604e-01	-9.934893e-01	-9.714833e-01
3.749406894339604e-01	-9.999931e-01	-9.889070e-01
3.766985019339603e-01	-9.943108e-01	-9.942798e-01
3.784563144339603e-01	-9.765118e-01	-9.875363e-01
3.802141269339602e-01	-9.468130e-01	-9.687585e-01
3.819719394339602e-01	-9.055763e-01	-9.381754e-01
3.837297519339601e-01	-8.533042e-01	-8.961596e-01
3.854875644339601e-01	-7.906337e-01	-8.432233e-01
3.872453769339601e-01	-7.183284e-01	-7.800113e-01
3.890031894339600e-01	-6.372696e-01	-7.072940e-01
3.907610019339600e-01	-5.484449e-01	-6.259577e-01
3.925188144339599e-01	-4.529369e-01	-5.369933e-01
3.942766269339599e-01	-3.519093e-01	-4.414852e-01
3.960344394339598e-01	-2.465934e-01	-3.405971e-01
3.977922519339598e-01	-1.382724e-01	-2.355584e-01
3.995500644339597e-01	-2.826652e-02	-1.276492e-01
4.013078769339597e-01	8.208387e-02	-1.818449e-02
4.030656894339597e-01	1.914340e-01	9.150183e-02
4.048235019339596e-01	2.984513e-01	2.000731e-01
4.065813144339596e-01	4.018316e-01	3.062063e-01
4.083391269339595e-01	5.003152e-01	4.086080e-01
4.100969394339595e-01	5.927020e-01	5.060304e-01
4.118547519339594e-01	6.778660e-01	5.972863e-01
4.136125644339594e-01	7.547695e-01	6.812637e-01
4.153703769339593e-01	8.224753e-01	7.569391e-01
4.171281894339593e-01	8.801584e-01	8.233904e-01
4.188860019339593e-01	9.271159e-01	8.798077e-01
4.206438144339592e-01	9.627755e-01	9.255038e-01
4.224016269339592e-01	9.867026e-01	9.599215e-01
4.241594394339591e-01	9.986057e-01	9.826417e-01
4.259172519339591e-01	9.983397e-01	9.933872e-01
4.276750644339590e-01	9.859079e-01	9.920273e-01
4.294328769339590e-01	9.614618e-01	9.785786e-01
4.311906894339589e-01	9.252992e-01	9.532048e-01
4.329485019339589e-01	8.778609e-01	9.162152e-01
4.347063144339589e-01	8.197249e-01	8.680605e-01
4.364641269339588e-01	7.515997e-01	8.093276e-01
4.382219394339588e-01	6.743155e-01	7.407321e-01
4.399797519339587e-01	5.888140e-01	6.631101e-01
4.417375644339587e-01	4.961372e-01	5.774074e-01
4.434953769339586e-01	3.974144e-01	4.846683e-01
4.452531894339586e-01	2.938488e-01	3.860230e-01
4.470110019339585e-01	1.867022e-01	2.826737e-01
4.487688144339585e-01	7.728054e-02	1.758797e-01
4.505266269339585e-01	-3.308291e-02	6.694238e-02
4.522844394339584e-01	-1.430432e-01	-4.281069e-02
4.540422519339584e-01	-2.512604e-01	-1.520421e-01
4.558000644339583e-01	-3.564157e-01	-2.594207e-01
4.575578769339583e-01	-4.572276e-01	-3.636379e-01
4.593156894339582e-01	-5.524678e-01	-4.634239e-01
4.610735019339582e-01	-6.409756e-01	-5.575625e-01
4.628313144339581e-01	-7.216724e-01	-6.449067e-01
4.645891269339581e-01	-7.935749e-01	-7.243919e-01
4.663469394339581e-01	-8.558068e-01	-7.950497e-01
4.681047519339580e-01	-9.076098e-01	-8.560190e-01
4.698625644339580e-01	-9.483526e-01	-9.065568e-01
4.716203769339579e-01	-9.775388e-01	-9.460472e-01
4.733781894339579e-01	-9.948125e-01	-9.740090e-01
4.751360019339578e-01	-9.999635e-01	-9.901016e-01
4.768938144339578e-01	-9.929288e-01	-9.941286e-01
4.786516269339577e-01	-9.737943e-01	-9.860412e-01
4.804094394339577e-01	-9.427930e-01	-9.659377e-01
4.821672519339577e-01	-9.003028e-01	-9.340634e-01
4.839250644339576e-01	-8.468414e-01	-8.908064e-01
4.856828769339576e-01	-7.830604e-01	-8.366941e-01
4.874406894339575e-01	-7.097369e-01	-7.723857e-01
4.891985019339575e-01	-6.277646e-01	-6.986650e-01
4.909563144339574e-01	-5.381423e-01	-6.164303e-01
4.927141269339574e-01	-4.419622e-01	-5.266839e-01
4.944719394339573e-01	-3.403963e-01	-4.305191e-01
4.962297519339573e-01	-2.346822e-01	-3.291080e-01
4.979875644339573e-01	-1.261084e-01	-2.236864e-01
4.997453769339572e-01	-1.599776e-02	-1.155390e-01
5.015031894339572e-01	9.430782e-02	-5.983582e-03
5.032610019339572e-01	2.034642e-01	1.036448e-01
5.050188144339571e-01	3.101411e-01	2.120101e-01
5.067766269339571e-01	4.130386e-01	3.177918e-01
5.085344394339570e-01	5.109028e-01	4.197009e-01
5.102922519339570e-01	6.025411e-01	5.164955e-01
5.120500644339570e-01	6.868368e-01	6.069961e-01
5.138078769339569e-01	7.627627e-01	6.900997e-01
5.155656894339569e-01	8.293934e-01	7.647939e-01
5.173235019339568e-01	8.859172e-01	8.301681e-01
5.190813144339568e-01	9.316452e-01	8.854259e-01
5.208391269339567e-01	9.660200e-01	9.298938e-01
5.225969394339567e-01	9.886228e-01	9.630300e-01
5.243547519339566e-01	9.991783e-01	9.844306e-01
5.261125644339566e-01	9.975577e-01	9.938349e-01
5.278703769339566e-01	9.837808e-01	9.911283e-01
5.296281894339565e-01	9.580154e-01	9.763438e-01
5.313860019339565e-01	9.205757e-01	9.496614e-01
5.331438144339564e-01	8.719178e-01	9.114064e-01
5.349016269339564e-01	8.126346e-01	8.620450e-01
5.366594394339563e-01	7.434486e-01	8.021786e-01
5.384172519339563e-01	6.652029e-01	7.325368e-01
5.401750644339562e-01	5.788510e-01	6.539683e-01
5.419328769339562e-01	4.854452e-01	5.674305e-01
5.436906894339562e-01	3.861237e-01	4.739780e-01
5.454485019339561e-01	2.820969e-01	3.747495e-01
5.472063144339561e-01	1.746324e-01	2.709543e-01
5.489641269339560e-01	6.503988e-02	1.638573e-01
5.507219394339560e-01	-4.534524e-02	5.476344e-02
5.524797519339559e-01	-1.551778e-01	-5.499774e-02
5.542375644339559e-01	-2.631193e-01	-1.640887e-01
5.559953769339558e-01	-3.678544e-01	-2.711801e-01
5.577531894339558e-01	-4.681069e-01	-3.749669e-01
5.595110019339558e-01	-5.626550e-01	-4.741842e-01
5.612688144339557e-01	-6.503465e-01	-5.676232e-01
5.630266269339557e-01	-7.301129e-01	-6.541451e-01
5.647844394339556e-01	-8.009821e-01	-7.326955e-01
5.665422519339556e-01	-8.620903e-01	-8.023172e-01
5.683000644339555e-01	-9.126933e-01	-8.621619e-01
5.700578769339555e-01	-9.521739e-01	-9.115002e-01
5.718156894339554e-01	-9.800515e-01	-9.497309e-01
5.735735019339554e-01	-9.959860e-01	-9.763881e-01
5.753313144339554e-01	-9.997833e-01	-9.911470e-01
5.770891269339553e-01	-9.913973e-01	-9.938277e-01
5.788469394339553e-01	-9.709300e-01	-9.843976e-01
5.806047519339552e-01	-9.386309e-01	-9.629716e-01
5.823625644339552e-01	-8.948936e-01	-9.298107e-01
5.841203769339551e-01	-8.402511e-01	-8.853191e-01
5.858781894339551e-01	-7.753692e-01	-8.300389e-01
5.876360019339550e-01	-7.010387e-01	-7.646439e-01
5.893938144339550e-01	-6.181651e-01	-6.899308e-01
5.911516269339550e-01	-5.277587e-01	-6.068102e-01
5.929094394339549e-01	-4.309209e-01	-5.162950e-01
5.946672519339549e-01	-3.288319e-01	-4.194882e-01
5.964250644339548e-01	-2.227357e-01	-3.175694e-01
5.981828769339548e-01	-1.139253e-01	-2.117808e-01
5.999406894339547e-01	-3.726584e-03	-1.034114e-01
6.016985019339547e-01	1.065176e-01	6.218229e-03
6.034563144339546e-01	2.154637e-01	1.157721e-01
6.052141269339546e-01	3.217841e-01	2.239151e-01
6.069719394339546e-01	4.241833e-01	3.293295e-01
6.087297519339545e-01	5.214134e-01	4.307306e-01
6.104875644339545e-01	6.122895e-01	5.268828e-01
6.122453769339544e-01	6.957042e-01	6.166145e-01
6.140031894339544e-01	7.706410e-01	6.988320e-01
6.157610019339543e-01	8.361867e-01	7.725335e-01
6.175188144339543e-01	8.915426e-01	8.368208e-01
6.192766269339542e-01	9.360341e-01	8.909106e-01
6.210344394339542e-01	9.691190e-01	9.341438e-01
6.227922519339542e-01	9.903942e-01	9.659934e-01
6.245500644339541e-01	9.996004e-01	9.860713e-01
6.263078769339541e-01	9.966254e-01	9.941329e-01
6.280656894339540e-01	9.815055e-01	9.900800e-01
6.298235019339540e-01	9.544249e-01	9.739619e-01
6.315813144339539e-01	9.157135e-01	9.459750e-01
6.333391269339539e-01	8.658434e-01	9.064604e-01
6.350969394339538e-01	8.054219e-01	8.558996e-01
6.368547519339538e-01	7.351855e-01	7.949088e-01
6.386125644339538e-01	6.559901e-01	7.242312e-01
6.403703769339537e-01	5.688008e-01	6.447281e-01
6.421281894339537e-01	4.746800e-01	5.573682e-01
6.438860019339536e-01	3.747748e-01	4.632163e-01
6.456438144339536e-01	2.703025e-01	3.634195e-01
6.474016269339535e-01	1.625363e-01	2.591941e-01
6.491594394339535e-01	5.278943e-02	1.518102e-01
6.509172519339534e-01	-5.760074e-02	4.257626e-02
6.526750644339534e-01	-1.672890e-01	-6.717649e-02
6.544328769339534e-01	-2.749386e-01	-1.761106e-01
6.561906894339533e-01	-3.792379e-01	-2.828987e-01
6.579485019339533e-01	-4.789157e-01	-3.862393e-01
6.597063144339532e-01	-5.727574e-01	-4.848732e-01
6.614641269339532e-01	-6.596195e-01	-5.775984e-01
6.632219394339531e-01	-7.384434e-01	-6.632849e-01
6.649797519339531e-01	-8.082685e-01	-7.408886e-01
6.667375644339530e-01	-8.682441e-01	-8.094639e-01
6.684953769339530e-01	-9.176392e-01	-8.681749e-01
6.702531894339530e-01	-9.558519e-01	-9.163063e-01
6.720110019339529e-01	-9.824166e-01	-9.532715e-01
6.737688144339529e-01	-9.970094e-01	-9.786201e-01
6.755266269339528e-01	-9.994526e-01	-9.920432e-01
6.772844394339528e-01	-9.897165e-01	-9.933772e-01
6.790422519339527e-01	-9.679195e-01	-9.826058e-01
6.808000644339527e-01	-9.343275e-01	-9.598603e-01
6.825578769339526e-01	-8.893497e-01	-9.254180e-01
6.843156894339526e-01	-8.335342e-01	-8.796984e-01
6.860735019339526e-01	-7.675613e-01	-8.232588e-01
6.878313144339525e-01	-6.922347e-01	-7.567869e-01
6.895891269339525e-01	-6.084726e-01	-6.810927e-01
6.913469394339524e-01	-5.172956e-01	-5.970987e-01
6.931047519339524e-01	-4.198148e-01	-5.058284e-01
6.948625644339523e-01	-3.172181e-01	-4.083941e-01
6.966203769339523e-01	-2.107557e-01	-3.059830e-01
6.983781894339522e-01	-1.017251e-01	-1.998433e-01
7.001360019339522e-01	8.545149e-03	-9.126817e-02
7.018938144339522e-01	1.187113e-01	1.841910e-02
7.036516269339521e-01	2.274308e-01	1.278819e-01
7.054094394339521e-01	3.333788e-01	2.357864e-01
7.071672519339520e-01	4.352642e-01	3.408175e-01
7.089250644339520e-01	5.318455e-01	4.416954e-01
7.106828769339519e-01	6.219457e-01	5.371908e-01
7.124406894339519e-01	7.044668e-01	6.261399e-01
7.141985019339518e-01	7.784032e-01	7.074590e-01
7.159563144339518e-01	8.428540e-01	7.801568e-01
7.177141269339518e-01	8.970337e-01	8.433475e-01
7.194719394339517e-01	9.402821e-01	8.962613e-01
7.212297519339517e-01	9.720721e-01	9.382531e-01
7.229875644339516e-01	9.920165e-01	9.688113e-01
7.247453769339516e-01	9.998720e-01	9.875636e-01
7.265031894339515e-01	9.955431e-01	9.942812e-01
7.282610019339515e-01	9.790824e-01	9.888826e-01
7.300188144339514e-01	9.506906e-01	9.714333e-01
7.317766269339514e-01	9.107136e-01	9.421461e-01
7.335344394339514e-01	8.596385e-01	9.013779e-01
7.352922519339513e-01	7.980879e-01	8.496254e-01
7.370500644339513e-01	7.268117e-01	7.875193e-01
7.388078769339512e-01	6.466785e-01	7.158165e-01
7.405656894339512e-01	5.586649e-01	6.353907e-01
7.423235019339511e-01	4.638434e-01	5.472220e-01
7.440813144339511e-01	3.633694e-01	4.523848e-01
7.458391269339510e-01	2.584674e-01	3.520348e-01
7.475969394339510e-01	1.504157e-01	2.473949e-01
7.493547519339510e-01	4.053103e-02	1.397402e-01
7.511125644339509e-01	-6.984757e-02	3.038266e-02
7.528703769339509e-01	-1.793750e-01	-7.934514e-02
7.546281894339508e-01	-2.867166e-01	-1.881060e-01
7.563860019339508e-01	-3.905641e-01	-2.945746e-01
7.581438144339507e-01	-4.896523e-01	-3.974536e-01
7.599016269339507e-01	-5.827736e-01	-4.954891e-01
7.616594394339506e-01	-6.687931e-01	-5.874866e-01
7.634172519339506e-01	-7.466626e-01	-6.723249e-01
7.651750644339506e-01	-8.154333e-01	-7.489702e-01
7.669328769339505e-01	-8.742671e-01	-8.164886e-01
7.686906894339505e-01	-9.224470e-01	-8.740571e-01
7.704485019339504e-01	-9.593859e-01	-9.209744e-01
7.722063144339504e-01	-9.846337e-01	-9.566686e-01
7.739641269339503e-01	-9.978827e-01	-9.807047e-01
7.757219394339503e-01	-9.989714e-01	-9.927900e-01
7.774797519339502e-01	-9.878865e-01	-9.927770e-01
7.792375644339502e-01	-9.647633e-01	-9.806660e-01
7.809953769339502e-01	-9.298834e-01	-9.566046e-01
7.827531894339501e-01	-8.836718e-01	-9.208859e-01
7.845110019339501e-01	-8.266918e-01	-8.739452e-01
7.862688144339500e-01	-7.596377e-01	-8.163546e-01
7.880266269339500e-01	-6.833265e-01	-7.488159e-01
7.897844394339499e-01	-5.986884e-01	-6.721520e-01
7.915422519339499e-01	-5.067546e-01	-5.872973e-01
7.933000644339498e-01	-4.086454e-01	-4.952857e-01
7.950578769339498e-01	-3.055564e-01	-3.972385e-01
7.968156894339498e-01	-1.987439e-01	-2.943505e-01
7.985735019339497e-01	-8.950956e-02	-1.878756e-01
8.003313144339497e-01	2.081560e-02	-7.911124e-02
8.020891269339496e-01	1.308871e-01	3.061720e-02
8.038469394339496e-01	2.393636e-01	1.399725e-01
8.056047519339495e-01	3.449232e-01	2.476222e-01
8.073625644339495e-01	4.462795e-01	3.522542e-01
8.091203769339494e-01	5.421975e-01	4.525937e-01
8.108781894339494e-01	6.315082e-01	5.474179e-01
8.126360019339494e-01	7.131233e-01	6.355712e-01
8.143938144339493e-01	7.860482e-01	7.159793e-01
8.161516269339493e-01	8.493944e-01	7.876626e-01
8.179094394339492e-01	9.023897e-01	8.497473e-01
8.196672519339492e-01	9.443884e-01	9.014769e-01
8.214250644339491e-01	9.748788e-01	9.422211e-01
8.231828769339491e-01	9.934893e-01	9.714833e-01
8.249406894339490e-01	9.999931e-01	9.889070e-01
8.266985019339490e-01	9.943108e-01	9.942798e-01
